,normal_created_at,,,,,,normal_language,normal_text,,,,,normal_response
,2018-08-31T20:54:00.000Z,,,,,,en,"@TheLuckyCosmos @tropicalupdate @EthingHurricane @MassachusettsWx @NewThor @TheWeatherMastr @Empire_Weather @KalTellefsenWX @TJ05650196 @raileyky @BobbiStorm You bring a very memorable storm in Irma from last year. It’s true that there was a significant turn from NW to SW, but the upper air pattern was a bit different then, aside from Irma being a strong hurricane. Florence could be too, but factors like Stable/SAL could inhibit.",,,,,"Generated text (gemma3:1b):
ESTABLISHED
"
,2018-09-01T11:53:32.000Z,,,,,,en,"ECMWF run-total vorticity 'snakes' highlight the active global tropics.

West Pacific: Super Typhoon Jebi.
East Pacific: Hurricane Norman.
Atlantic: Tropical Storm Florence.

...and more to come! https://t.co/s1phC0NMfz",,,,,"Generated text (gemma3:1b):
ESTRAY
"
,2018-09-02T14:48:46.000Z,,,,,,en,"@StarChaseTheSun @flo_tweet Ms Delilah I was thinking about this storm, Florence, yesterday as here at the observatory we watched it strengthen to a hurricane,  Appropriate I suppose since Florence will soon be taking the US by storm anyhow.  😋",,,,,"Generated text (gemma3:1b):
STICKED

"
,2018-09-03T16:15:47.000Z,,,,,,en,@TheWeatherMastr @DaDaBuh This Category 1 Hurricane came with a 30ft Storm Surge on Western Long Island. #NHC needs to do away with the Saffir Simpson Hurricane Scale #VeryMisleading #NHC #NYC #NYWX #Hurricane #Florence,,,,,"Generated text (gemma3:1b):
Hurricanes

"
,2018-09-04T05:53:06.000Z,,,,,,en,"If in 5 days alarm bells go off on Hurricane Florence
please GTFO of town. @KatiaPorzo 
i'll show u around the city if you want to visit Houston. 😇",,,,,"Generated text (gemma3:1b):
STICKED
"
,2018-09-05T14:48:51.000Z,,,,,,en,@pppapin @MJVentrice @EricBlake12 @UWCIMSS @carl_schreck I'd be more worried about Hurricane Florence sending a +PV filament equatorward into the MDR to damper 92L and the wave that follows.,,,,,"Generated text (gemma3:1b):
HARDEST
"
,2018-09-05T15:42:58.000Z,,,,,,en,"Florence has become the 1st major hurricane (category 3 or higher) of the season with winds of 125 mph. The system is still out in the central Atlantic and won’t be a treat to land through the weekend.
*Satellite imagery from https://t.co/mwqKU4PFlc* https://t.co/JfQOa9PzOf",,,,,"Generated text (gemma3:1b):
HOT ATTENTION, THIS TEXT INDICATED A SIGNIFICANT HURACANE HAS BE come the first major hurricane in the season with winds of 125 mph. The system is still out in the central Atlantic and won’t be a treat to land through the weekend.
"
,2018-09-05T15:47:05.000Z,,,,,,en,"(2/3) Florence could strengthen to a Cat 4 hurricane before likely weakening to a Cat 2 over the next couple days, although it could remain a major hurricane instead. Florence will not affect land over the next several days, but it could directly affect Bermuda next week.",,,,,"Generated text (gemma3:1b):
Hospital

"
,2018-09-05T15:50:19.000Z,,,,,,en,Update: Florence has been upgraded to a Category 3 hurricane | @OwainRG | https://t.co/cK2eZ29UTA https://t.co/yXxcDdfPAY,,,,,"Generated text (gemma3:1b):
THEFT
"
,2018-09-05T16:26:39.000Z,,,,,,en,"Recent satellite imagery indicates that #HurricaneFlorence is still strengthening and is now a major hurricane.

Maximum sustained winds are estimated to be 120 mph (195 km/h). 

We are still monitoring its path. https://t.co/1uzzIfxIaP",,,,,"Generated text (gemma3:1b):
【HAWAII】【TORTAL HURREXCLAMATION】【NEVER-STOP-THREAT】

"
